item_key,difficulty,content_field,claim_id,original_claim,source_url,source_sha256,page_or_section,evidence_excerpt,verdict,proposed_correction,reviewed_revision
shinjuku-2026-r2-gian-42,normal,title,C42-N-01,物価高騰対策と防災体制強化に向けた令和8年度一般会計補正予算（第2号）,https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 歳出,歳出の3款は地域振興費・文化観光産業費・土木費のみ。防災関係の計上はない,contradicted,「商店街の商品券拡充と道路整備の増額（一般会計補正予算 第2号）」に差し替え,step3-audit-r8-2
shinjuku-2026-r2-gian-42,normal,content,C42-N-02,"補正額 約15億8,500万円（既定予算との合計 約1,680億円）",https://www.city.shinjuku.lg.jp/content/000457639.pdf,ac6e93cedcf8ebce16843474aa13de52397bb65dc7bfdf7a57ebee1adc3fa5ee,第1条,"歳入歳出それぞれ292,564千円を追加し、総額を189,293,341千円とする",contradicted,"292,564千円／総額189,293,341千円に訂正",step3-audit-r8-2
shinjuku-2026-r2-gian-42,normal,content,C42-N-03,学校給食費・保育所給食の食材費高騰分支援,https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 歳出,当該事業の計上はない,contradicted,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-42,normal,content,C42-N-04,低所得世帯向け緊急生活支援給付,https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 歳出,当該事業の計上はない,contradicted,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-42,normal,content,C42-N-05,避難所用備蓄物資の拡充（アルファ化米16万食等）を本補正で措置,https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 歳出,備蓄物資は第59号議案（買入れ）の案件であり、本補正の歳出款に含まれない,contradicted,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-42,normal,content,C42-N-06,学校体育館・地域センターの非常用通信環境整備（Wi-Fi・蓄電池）,https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 歳出,"地域振興費の計上は角筈地域センター（設備整備）9,284千円のみで、内容は労務単価等の見直しに伴う工事費の増額",contradicted,"角筈地域センター（設備整備）9,284千円の記述に差し替え",step3-audit-r8-2
shinjuku-2026-r2-gian-42,normal,content,C42-N-07,中小企業省エネ設備等導入補助金,https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 歳出,"文化観光産業費の計上は新宿区商店会連合会への事業助成160,224千円のみ",contradicted,商店街ハッピー商品券事業の拡充に差し替え,step3-audit-r8-2
shinjuku-2026-r2-gian-42,normal,content,C42-N-08,主な財源は国庫支出金・都支出金・財政調整基金繰入金,https://www.city.shinjuku.lg.jp/content/000457639.pdf,ac6e93cedcf8ebce16843474aa13de52397bb65dc7bfdf7a57ebee1adc3fa5ee,第1表 歳入,"歳入は繰入金61,985千円・諸収入126,579千円・特別区債104,000千円。国庫支出金・都支出金の計上はない",contradicted,実際の3款に訂正,step3-audit-r8-2
shinjuku-2026-r2-gian-42,normal,content,C42-N-09,令和8年6月19日に区議会本会議にて原案可決,https://www.city.shinjuku.lg.jp/kusei/soumu01_002090_00016.html,72349f6e321e79ccc3076036e07386763398510bfb6bb2154b4cd3d6a2d85d58,議決結果ページ,第42号議案は原案可決。ページ最終更新日は2026年6月19日で、案件別の議決日の記載はない,unsupported,会期（6月10日〜6月19日）で原案可決と記述し、個別議決日を断定しない,step3-audit-r8-2
shinjuku-2026-r2-gian-42,hard,content,C42-H-01,"款別補正額の表（総務費75,134／民生費620,000／衛生費185,000／産業経済費210,000／教育費315,000／その他179,866千円）",https://www.city.shinjuku.lg.jp/content/000457639.pdf,ac6e93cedcf8ebce16843474aa13de52397bb65dc7bfdf7a57ebee1adc3fa5ee,第1表 歳出,"歳出は3款のみ（地域振興費9,284千円・文化観光産業費160,224千円・土木費123,056千円）",contradicted,第1表の実数に全面差し替え,step3-audit-r8-2
