item_key,difficulty,content_field,claim_id,final_claim,source_url,source_sha256,page_or_section,evidence_excerpt,verdict,reviewed_revision
shinjuku-2026-r2-gian-43,normal,content,B43-N-01,令和8年6月10日に区長が提出した令和8年度一般会計の補正予算,https://www.city.shinjuku.lg.jp/content/000457640.pdf,ab16d01e092dce9b29e5d9f84d0aa46b2ec0d1e6fd86e3c2f92194be0a65c3b2,議案末尾,令和８年６月１０日 提出 新宿区長 吉住健一,supported,step4-content-r8-2
shinjuku-2026-r2-gian-43,normal,content,B43-N-02,"歳入歳出それぞれに289,657千円を追加する",https://www.city.shinjuku.lg.jp/content/000457640.pdf,ab16d01e092dce9b29e5d9f84d0aa46b2ec0d1e6fd86e3c2f92194be0a65c3b2,第1条,"歳入歳出予算の総額に歳入歳出それぞれ 289,657 千円を追加し",supported,step4-content-r8-2
shinjuku-2026-r2-gian-43,normal,content,B43-N-03,"補正後の一般会計の総額は189,582,998千円",https://www.city.shinjuku.lg.jp/content/000457640.pdf,ab16d01e092dce9b29e5d9f84d0aa46b2ec0d1e6fd86e3c2f92194be0a65c3b2,第1条,"歳入歳出予算の総額を歳入歳出それぞれ 189,582,998 千円とする",supported,step4-content-r8-2
shinjuku-2026-r2-gian-43,normal,content,B43-N-04,"補正前の総額189,293,341千円は補正第2号までを反映した額",https://www.city.shinjuku.lg.jp/content/000457640.pdf,ab16d01e092dce9b29e5d9f84d0aa46b2ec0d1e6fd86e3c2f92194be0a65c3b2,第1表 歳入歳出合計,"歳入合計 補正前予算額 189,293,341",supported,step4-content-r8-2
shinjuku-2026-r2-gian-43,normal,content,B43-N-05,"子ども家庭費の補正額は117,725千円",https://www.city.shinjuku.lg.jp/content/000457640.pdf,ab16d01e092dce9b29e5d9f84d0aa46b2ec0d1e6fd86e3c2f92194be0a65c3b2,第1表 歳出 6 子ども家庭費,"6 子ども家庭費 39,532,093 117,725 39,649,818",supported,step4-content-r8-2
shinjuku-2026-r2-gian-43,normal,content,B43-N-06,"保育所等緊急助成50,389千円。物価高騰対策として私立保育所等への支援を継続し実施期間を4月〜6月から4月〜3月に延長",https://www.city.shinjuku.lg.jp/content/000456355.pdf,94999df163452634a5f4a9a3181372668f3e57d7d9ae3577c729aed2cca5e2af,歳出 6 子ども家庭費(2),"保育所等緊急助成 50,389千円 食材料費等の物価高騰対策として、私立保育所等への支援を継続 ・実施期間 4月～6月 → 4月～3月",supported,step4-content-r8-2
shinjuku-2026-r2-gian-43,normal,content,B43-N-07,"保育所（設備整備）44,358千円。鶴巻南公園内保育園仮園舎を改修（令和8年8月〜12月）",https://www.city.shinjuku.lg.jp/content/000456355.pdf,94999df163452634a5f4a9a3181372668f3e57d7d9ae3577c729aed2cca5e2af,歳出 6 子ども家庭費(4),"保育所（設備整備） 44,358千円 早稲田南町保育園分園の仮移転先である鶴巻南公園内保育園仮園舎を改修 ・令和8年8月～12月 改修工事",supported,step4-content-r8-2
shinjuku-2026-r2-gian-43,normal,content,B43-N-08,"保育所（管理運営費）22,925千円。早稲田南町保育園分園を令和9年1月に移転予定",https://www.city.shinjuku.lg.jp/content/000456355.pdf,94999df163452634a5f4a9a3181372668f3e57d7d9ae3577c729aed2cca5e2af,歳出 6 子ども家庭費(3),"保育所（管理運営費） 22,925千円 早稲田南町保育園分園を鶴巻南公園内保育園仮園舎へ移転 ・令和9年1月 移転予定",supported,step4-content-r8-2
shinjuku-2026-r2-gian-43,normal,content,B43-N-09,子ども未来基金積立金53千円は寄附金の積立,https://www.city.shinjuku.lg.jp/content/000456355.pdf,94999df163452634a5f4a9a3181372668f3e57d7d9ae3577c729aed2cca5e2af,歳出 6 子ども家庭費(1),子ども未来基金積立金 53千円 寄附金の積立,supported,step4-content-r8-2
shinjuku-2026-r2-gian-43,normal,content,B43-N-10,"健康費109,998千円は予防接種（インフルエンザ）の増額で、定期接種における接種ワクチンの変更による",https://www.city.shinjuku.lg.jp/content/000456355.pdf,94999df163452634a5f4a9a3181372668f3e57d7d9ae3577c729aed2cca5e2af,歳出 7 健康費(1),"予防接種（インフルエンザ） 109,998千円 定期接種における接種ワクチンの変更による増額",supported,step4-content-r8-2
shinjuku-2026-r2-gian-43,normal,content,B43-N-11,対象者は75歳以上の者、標準量から高用量インフルエンザワクチンへ、接種回数1回、接種費用無料,https://www.city.shinjuku.lg.jp/content/000456355.pdf,94999df163452634a5f4a9a3181372668f3e57d7d9ae3577c729aed2cca5e2af,歳出 7 健康費(1),・対象者 75歳以上の者 ・接種ワクチン 標準量インフルエンザワクチン→高用量インフルエンザワクチン ・接種回数 1回 ・接種費用 無料,supported,step4-content-r8-2
shinjuku-2026-r2-gian-43,normal,content,B43-N-12,"教育費 学校支援体制の充実39,507千円。不登校児童への学習支援及び相談支援のため校内教育支援センター支援員を区立小学校15校に配置",https://www.city.shinjuku.lg.jp/content/000456355.pdf,94999df163452634a5f4a9a3181372668f3e57d7d9ae3577c729aed2cca5e2af,歳出 10 教育費(1),"学校支援体制の充実 39,507千円 不登校児童への学習支援及び相談支援のため、校内教育支援センター支援員を配置 ・区立小学校 15校",supported,step4-content-r8-2
shinjuku-2026-r2-gian-43,normal,content,B43-N-13,"健康保険料及び厚生年金保険料等8,147千円は支援員の社会保険料等",https://www.city.shinjuku.lg.jp/content/000456355.pdf,94999df163452634a5f4a9a3181372668f3e57d7d9ae3577c729aed2cca5e2af,歳出 10 教育費(2),"健康保険料及び厚生年金保険料等 8,147千円 校内教育支援センター支援員の社会保険料等",supported,step4-content-r8-2
