item_key,difficulty,content_field,claim_id,final_claim,source_url,source_sha256,page_or_section,evidence_excerpt,verdict,reviewed_content_sha256
shinjuku-2026-r2-shonin-3,normal,content,S3-N-01,区長が令和8年3月31日付けで専決処分した条例改正について議会の承認を求める案件である,https://www.city.shinjuku.lg.jp/content/000457642.pdf,a27e37a4294f4ce00969031938958bd38f63b0ab469bd1597fa3405be28ee752,議案本文,令和8年3月31日付けで専決処分したので、同条第3項の規定に基づき、別紙のとおりその処置について報告し、承認を求める,supported,772ea0ce41e60dbcc1bc1022bcf27a8c02db31c2828838a84d21241ae965fc87
shinjuku-2026-r2-shonin-3,normal,content,S3-N-02,専決処分の根拠は地方自治法第179条第1項である,https://www.city.shinjuku.lg.jp/content/000457642.pdf,a27e37a4294f4ce00969031938958bd38f63b0ab469bd1597fa3405be28ee752,議案本文,地方自治法（昭和22年法律第67号）第179条第1項の規定に基づき,supported,772ea0ce41e60dbcc1bc1022bcf27a8c02db31c2828838a84d21241ae965fc87
shinjuku-2026-r2-shonin-3,normal,content,S3-N-03,処分したときは区長は次の議会でその処置を報告し承認を求めなければならない（同条第3項）,https://www.city.shinjuku.lg.jp/content/000457642.pdf,a27e37a4294f4ce00969031938958bd38f63b0ab469bd1597fa3405be28ee752,議案本文,同条第3項の規定に基づき、別紙のとおりその処置について報告し、承認を求める,supported,772ea0ce41e60dbcc1bc1022bcf27a8c02db31c2828838a84d21241ae965fc87
shinjuku-2026-r2-shonin-3,normal,content,S3-N-04,告示は新宿区告示第203号、令和8年3月31日付けである,https://www.city.shinjuku.lg.jp/content/000457642.pdf,a27e37a4294f4ce00969031938958bd38f63b0ab469bd1597fa3405be28ee752,新宿区告示第203号,新宿区告示第２０３号 専決処分について … 令和８年３月３１日 新宿区長 吉住 健一,supported,772ea0ce41e60dbcc1bc1022bcf27a8c02db31c2828838a84d21241ae965fc87
shinjuku-2026-r2-shonin-3,normal,content,S3-N-05,緊急を要するため区議会を招集する時間的余裕がないことが明らかであると認めた旨が告示にある,https://www.city.shinjuku.lg.jp/content/000457642.pdf,a27e37a4294f4ce00969031938958bd38f63b0ab469bd1597fa3405be28ee752,新宿区告示第203号,特に緊急を要するため新宿区議会を招集する時間的余裕がないことが明らかであると認め,supported,772ea0ce41e60dbcc1bc1022bcf27a8c02db31c2828838a84d21241ae965fc87
shinjuku-2026-r2-shonin-3,normal,content,S3-N-06,理由は地方税法等の一部を改正する法律（令和8年法律第2号）が令和8年3月31日に公布され同年4月1日から施行されることに伴うものである,https://www.city.shinjuku.lg.jp/content/000457642.pdf,a27e37a4294f4ce00969031938958bd38f63b0ab469bd1597fa3405be28ee752,新宿区告示第203号 3 理由,地方税法等の一部を改正する法律（令和8年法律第2号）が令和8年3月31日に公布され同年4月1日から施行されることに伴い,supported,772ea0ce41e60dbcc1bc1022bcf27a8c02db31c2828838a84d21241ae965fc87
shinjuku-2026-r2-shonin-3,normal,content,S3-N-07,対象条例は昭和28年新宿区条例第8号である,https://www.city.shinjuku.lg.jp/content/000457642.pdf,a27e37a4294f4ce00969031938958bd38f63b0ab469bd1597fa3405be28ee752,改め文,アメリカ合衆国軍隊の構成員等の所有する軽自動車等に対する軽自動車税の種別割の徴収の特例に関する条例（昭和28年新宿区条例第8号）,supported,772ea0ce41e60dbcc1bc1022bcf27a8c02db31c2828838a84d21241ae965fc87
shinjuku-2026-r2-shonin-3,normal,content,S3-N-08,概要資料は日米地位協定の実施に伴う地方税法の臨時特例に関する法律の改正に伴い現行の種別割を軽自動車税に名称変更すると説明している,https://www.city.shinjuku.lg.jp/content/000456353.pdf,e1be5ac0c08d22dc59916c81fd24bd972ef44b601f8cd65ba76fc5d1f9d35c92,承認第3号 主な制定内容,日本国とアメリカ合衆国との間の相互協力及び安全保障条約第6条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う地方税法の臨時特例に関する法律の改正に伴い、現行の種別割を軽自動車税に名称変更する。,supported,772ea0ce41e60dbcc1bc1022bcf27a8c02db31c2828838a84d21241ae965fc87
shinjuku-2026-r2-shonin-3,normal,content,S3-N-09,題名や各条文から「の種別割」という文言を削る,https://www.city.shinjuku.lg.jp/content/000457642.pdf,a27e37a4294f4ce00969031938958bd38f63b0ab469bd1597fa3405be28ee752,改め文,題名及び第1条中「の種別割」を削る。,supported,772ea0ce41e60dbcc1bc1022bcf27a8c02db31c2828838a84d21241ae965fc87
shinjuku-2026-r2-shonin-3,normal,content,S3-N-10,「軽自動車税（種別割）納税証紙」を「軽自動車税納税証紙」に改める,https://www.city.shinjuku.lg.jp/content/000457642.pdf,a27e37a4294f4ce00969031938958bd38f63b0ab469bd1597fa3405be28ee752,改め文 第2条第3項,「軽自動車税（種別割）納税証紙」を「軽自動車税納税証紙」に,supported,772ea0ce41e60dbcc1bc1022bcf27a8c02db31c2828838a84d21241ae965fc87
shinjuku-2026-r2-shonin-3,normal,content,S3-N-11,「軽自動車税（種別割）納税済検印」を「軽自動車税納税済検印」に改める,https://www.city.shinjuku.lg.jp/content/000457642.pdf,a27e37a4294f4ce00969031938958bd38f63b0ab469bd1597fa3405be28ee752,改め文 第2条第3項,「軽自動車税（種別割）納税済検印」を「軽自動車税納税済検印」に改める。,supported,772ea0ce41e60dbcc1bc1022bcf27a8c02db31c2828838a84d21241ae965fc87
shinjuku-2026-r2-shonin-3,normal,content,S3-N-12,第1号様式も改められる,https://www.city.shinjuku.lg.jp/content/000457642.pdf,a27e37a4294f4ce00969031938958bd38f63b0ab469bd1597fa3405be28ee752,改め文,第1号様式を次のように改める。,supported,772ea0ce41e60dbcc1bc1022bcf27a8c02db31c2828838a84d21241ae965fc87
shinjuku-2026-r2-shonin-3,normal,content,S3-N-13,施行日は令和8年4月1日である,https://www.city.shinjuku.lg.jp/content/000457642.pdf,a27e37a4294f4ce00969031938958bd38f63b0ab469bd1597fa3405be28ee752,附則第1項,この条例は、令和8年4月1日から施行する。,supported,772ea0ce41e60dbcc1bc1022bcf27a8c02db31c2828838a84d21241ae965fc87
