item_key,difficulty,content_field,claim_id,final_claim,source_url,source_sha256,page_or_section,evidence_excerpt,verdict,reviewed_content_sha256
shinjuku-2026-r2-gian-42,easy,title,R42-E-01,表題「商店街の 商品券と 道路の 工事に お金を 足します」は、商品券の拡充と道路工事の増額を指す編集上の見出し,https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 歳出 4文化観光産業費,"（１）新宿区商店会連合会への事業助成 160,224千円",supported,bbb0d6f5edd23cc9d4ce8c00f84e054575c435085fe0fd74bf19e848f87dec24
shinjuku-2026-r2-gian-42,easy,summary,R42-E-02,要約の金額・事業はいずれも本文の主張と同一,https://www.city.shinjuku.lg.jp/content/000457639.pdf,ac6e93cedcf8ebce16843474aa13de52397bb65dc7bfdf7a57ebee1adc3fa5ee,第1条,"歳入歳出予算の総額に歳入歳出それぞれ 292,564 千円を追加し",supported,bbb0d6f5edd23cc9d4ce8c00f84e054575c435085fe0fd74bf19e848f87dec24
shinjuku-2026-r2-gian-42,easy,content,R42-E-03,区長が2026年（令和8年）6月10日（水）に出した（原文の元号表記を西暦と曜日に換算）,https://www.city.shinjuku.lg.jp/content/000457639.pdf,ac6e93cedcf8ebce16843474aa13de52397bb65dc7bfdf7a57ebee1adc3fa5ee,議案冒頭・末尾,令和８年６月１０日 提出 新宿区長 吉住健一,supported,bbb0d6f5edd23cc9d4ce8c00f84e054575c435085fe0fd74bf19e848f87dec24
shinjuku-2026-r2-gian-42,easy,content,R42-E-04,"2億9,256万4千円を足す（292,564千円の万円表記）",https://www.city.shinjuku.lg.jp/content/000457639.pdf,ac6e93cedcf8ebce16843474aa13de52397bb65dc7bfdf7a57ebee1adc3fa5ee,第1条,"歳入歳出予算の総額に歳入歳出それぞれ 292,564 千円を追加し",supported,bbb0d6f5edd23cc9d4ce8c00f84e054575c435085fe0fd74bf19e848f87dec24
shinjuku-2026-r2-gian-42,easy,content,R42-E-05,"区のお金はぜんぶで1,892億9,334万1千円になる（189,293,341千円の万円表記）",https://www.city.shinjuku.lg.jp/content/000457639.pdf,ac6e93cedcf8ebce16843474aa13de52397bb65dc7bfdf7a57ebee1adc3fa5ee,第1条,"歳入歳出予算の総額を歳入歳出それぞれ 189,293,341 千円とする",supported,bbb0d6f5edd23cc9d4ce8c00f84e054575c435085fe0fd74bf19e848f87dec24
shinjuku-2026-r2-gian-42,easy,content,R42-E-06,"商店街の商品券は1億6,022万4千円（160,224千円の万円表記）",https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 歳出 4文化観光産業費,"（１）新宿区商店会連合会への事業助成 160,224千円",supported,bbb0d6f5edd23cc9d4ce8c00f84e054575c435085fe0fd74bf19e848f87dec24
shinjuku-2026-r2-gian-42,easy,content,R42-E-07,おまけの割合は20%から30%になり、1万円で1万3千円分買える,https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 券種,"・プレミアム率 20%→30%（10,000円で13,000円分の紙商品券を区内の全郵便局で販売）",supported,bbb0d6f5edd23cc9d4ce8c00f84e054575c435085fe0fd74bf19e848f87dec24
shinjuku-2026-r2-gian-42,easy,content,R42-E-08,"どの店でも使える券（共通券）は4,500円分から5,000円分になる",https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 券種,"共通券（全ての店舗で利用可）4,500円分→5,000円分",supported,bbb0d6f5edd23cc9d4ce8c00f84e054575c435085fe0fd74bf19e848f87dec24
shinjuku-2026-r2-gian-42,easy,content,R42-E-09,"小さい店で使える券（応援券）は7,500円分から8,000円分になり、中小企業かつ広さ1,000平方メートル未満の店で使える",https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 券種,"応援券（中小企業かつ店舗面積1,000㎡未満の店舗で利用可）7,500円分→8,000円分",supported,bbb0d6f5edd23cc9d4ce8c00f84e054575c435085fe0fd74bf19e848f87dec24
shinjuku-2026-r2-gian-42,easy,content,R42-E-10,商店会と新宿区商店会連合会に入っている店が対象,https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 対象店舗,・対象店舗 商店会加盟店かつ新宿区商店会連合会加盟店,supported,bbb0d6f5edd23cc9d4ce8c00f84e054575c435085fe0fd74bf19e848f87dec24
