item_key,difficulty,content_field,claim_id,final_claim,source_url,source_sha256,page_or_section,evidence_excerpt,verdict,reviewed_content_sha256
shinjuku-2026-r2-giin-7,easy,title,G7-E-01,件名は「新宿区立学校における学用品の給付に関する条例」,https://www.city.shinjuku.lg.jp/content/000459252.pdf,14afb68aedc9c04d403ea2156c535ec7fabebe3cdccd04217df5bfd8648faa8d,議案の概要と審議結果 議員提出議案,新宿区立学校における学用品の給付に関する条例,supported,22a37ed94739a964951b5870c041ae2fe3d31a92110042a9a461d1ada8b1017f
shinjuku-2026-r2-giin-7,easy,summary,G7-E-02,日本共産党新宿区議会議員団とれいわ新選組 新宿の2会派、実質8名が提案した,https://ssp.kaigiroku.net/tenant/shinjuku/MinuteView.html?council_id=3193&schedule_id=3&minute_id=187,a3e855306ee9378a0f9e327d45d9762c9956e0202be5f25bb5a0b5ad849fa16d,本会議 6月11日 提案説明（高月まな議員）,日本共産党新宿区議会議員団と、れいわ新選組　新宿の２会派、実質８名により提案をいたしました,supported,22a37ed94739a964951b5870c041ae2fe3d31a92110042a9a461d1ada8b1017f
shinjuku-2026-r2-giin-7,easy,summary,G7-E-03,保護者の経済的負担を軽減し教育の機会均等を図るため、区立学校で教育活動に必要な学用品を給付する,https://www.city.shinjuku.lg.jp/content/000459252.pdf,14afb68aedc9c04d403ea2156c535ec7fabebe3cdccd04217df5bfd8648faa8d,議案の概要と審議結果 議員提出議案,保護者の経済的負担を軽減し、教育の機会均等を図る必要があるため、区立学校における教育活動に必要な学用品を給付する。,supported,22a37ed94739a964951b5870c041ae2fe3d31a92110042a9a461d1ada8b1017f
shinjuku-2026-r2-giin-7,easy,summary,G7-E-04,委員会は第7号を起立少数で否決すべきものと決定した,https://ssp.kaigiroku.net/tenant/shinjuku/MinuteView.html?council_id=3190&schedule_id=2&minute_id=16,70e0daa42b6285444180ecf2d944ea24878d96437c8832e56605e1533fde2053,文教子ども家庭委員会 6月15日 委員長,起立少数と認めます。　よって、議員提出議案第７号は否決すべきものと決定いたしました,supported,22a37ed94739a964951b5870c041ae2fe3d31a92110042a9a461d1ada8b1017f
shinjuku-2026-r2-giin-7,easy,summary,G7-E-05,本会議は第7号を起立少数で否決した,https://ssp.kaigiroku.net/tenant/shinjuku/MinuteView.html?council_id=3193&schedule_id=4&minute_id=78,7606a4d1cc1a23644295c8ea48bf09d90f50d3e7702dd3c9fc06167874e70fb3,本会議 6月19日 議長,起立少数と認めます。　本案は、否決されました,supported,22a37ed94739a964951b5870c041ae2fe3d31a92110042a9a461d1ada8b1017f
shinjuku-2026-r2-giin-7,easy,content,G7-E-06,日本共産党新宿区議会議員団とれいわ新選組 新宿の2会派、実質8名が提案した,https://ssp.kaigiroku.net/tenant/shinjuku/MinuteView.html?council_id=3193&schedule_id=3&minute_id=187,a3e855306ee9378a0f9e327d45d9762c9956e0202be5f25bb5a0b5ad849fa16d,本会議 6月11日 提案説明（高月まな議員）,日本共産党新宿区議会議員団と、れいわ新選組　新宿の２会派、実質８名により提案をいたしました,supported,22a37ed94739a964951b5870c041ae2fe3d31a92110042a9a461d1ada8b1017f
shinjuku-2026-r2-giin-7,easy,content,G7-E-07,第7・8号は文教子ども家庭委員会に付託された,https://ssp.kaigiroku.net/tenant/shinjuku/MinuteView.html?council_id=3193&schedule_id=3&minute_id=188,2a92a45db9a6dce4ad1296b5a958dd2b07d17dd7900c964b0958ec843909ec42,本会議 6月11日 議長,議員提出議案第７号及び議員提出議案第８号は、議案付託表のとおり、文教子ども家庭委員会に付託します,supported,22a37ed94739a964951b5870c041ae2fe3d31a92110042a9a461d1ada8b1017f
shinjuku-2026-r2-giin-7,easy,content,G7-E-08,会議録本文は条例案の条文を載せず「巻末議案の部参照」とだけ記す,https://ssp.kaigiroku.net/tenant/shinjuku/MinuteView.html?council_id=3193&schedule_id=3&minute_id=185,1d2c9397808beb08d1eb1a043b510e8222d59416d75184c616a3eef097e76a18,本会議 6月11日 議題,〔巻末議案の部参照〕,supported,22a37ed94739a964951b5870c041ae2fe3d31a92110042a9a461d1ada8b1017f
shinjuku-2026-r2-giin-7,easy,content,G7-E-09,会期ページは第7・8号の件名だけを載せ、条例案の全文を掲載していない,https://www.city.shinjuku.lg.jp/kusei/file08_05_0003820210204_00014.html,6b649b44d5a36dc3ab890a6bc2d30fb82536fd9edcbba53274cc648aa0a3f376,議会公式 会期ページ,議員提出議案第7号新宿区立学校における学用品の給付に関する条例…議員提出議案第8号新宿区立学校における修学旅行費の無償化に関する条例,supported,22a37ed94739a964951b5870c041ae2fe3d31a92110042a9a461d1ada8b1017f
shinjuku-2026-r2-giin-7,easy,content,G7-E-10,"提出者は費用を学用品費2億3,803万7,000円、修学旅行費5,657万2,000円、合計2億9,461万2,000円と説明した",https://ssp.kaigiroku.net/tenant/shinjuku/MinuteView.html?council_id=3190&schedule_id=1&minute_id=137,e55807601218813162f0b6c6eeb757d6e0b78ceecb30e2eac58fed85b158c80d,文教子ども家庭委員会 6月12日 佐藤佳一議員,"学用品費が２億3,803万7,000円、修学旅行費が中学３年生5,657万2,000円というふうに、合計が２億9,461万2,000円です",supported,22a37ed94739a964951b5870c041ae2fe3d31a92110042a9a461d1ada8b1017f
